Category,Month,Registrations,Year
3EV INDUSTRIES PVT LTD,JAN,130,2025
3S INDUSTRIES PRIVATE LIMITED,JAN,155,2025
A1 HEAVY EQUIPMENTS DEVELOPER,JAN,3,2025
A-1 SUREJA INDUSTRIES,JAN,1,2025
AADHYA ENTERPRISES,JAN,36,2025
AADITYA GARBAGE PRODUCTS PVT LTD,JAN,0,2025
AAHANA COMMERCE PVT LTD,JAN,391,2025
AAKK AUTO PVT LTD,JAN,15,2025
AARON INDUSTRIES,JAN,4,2025
A.B. AGRO ENGINEERING WORKS,JAN,0,2025
A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,JAN,0,2025
ABZO MOTORS PVT LTD,JAN,4,2025
ACCRETION POWER AUTOS,JAN,38,2025
ACTION CONSTRUCTION EQUIPMENT LTD.,JAN,1247,2025
A D AGRO WORKS,JAN,8,2025
ADAPT MOTORS PVT LTD,JAN,0,2025
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,JAN,259,2025
ADIDEV TECHNOA PVT LTD,JAN,106,2025
ADISHWAR AUTO RIDE INDIA PVT LTD,JAN,18,2025
ADITYA AGRO INDUSTRIES,JAN,3,2025
ADITYA SAI INDUSTRIES,JAN,9,2025
ADM TECHNOLOGIES PVT. LTD.,JAN,39,2025
ADRIS ELECTRIC PVT LTD,JAN,0,2025
AERODRIVE PVT LTD,JAN,11,2025
AEROEAGLE AUTOMOBILES PVT LTD,JAN,23,2025
AFKON AUTOMOTIVES PVT LTD,JAN,44,2025
AFTEK MOTORS INDIA PVT LTD,JAN,4,2025
AGI AUTO INDUSTRIES,JAN,0,2025
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,JAN,6,2025
AGRO INDUSTRIES,JAN,14,2025
AGRO TRAILERS AP312870751,JAN,0,2025
AHMED MOTORS,JAN,2,2025
AJANTA KRUSHI YANTRA,JAN,3,2025
AJAX ENGINEERING LTD,JAN,535,2025
AJAX FIORI ENGINEERING PVT LTD,JAN,0,2025
AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,JAN,1,2025
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,JAN,1,2025
AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,JAN,3,2025
AJAY MOTORS PRIVATE LIMITED,JAN,25,2025
A.J ENTERPRISES,JAN,16,2025
AKAL AGRO INDUSTRY,JAN,0,2025
